50 3
2 47 3 
5 18 32 
48 46 22 
27 9 14 
39 23 23 
47 4 25 
37 20 9 
48 34 19 
8 29 25 
19 43 22 
20 25 11 
30 3 32 
46 18 17 
47 26 44 
40 34 37 
11 12 35 
27 43 18 
50 34 47 
15 2 49 
29 7 42 
34 48 6 
22 36 9 
46 32 15 
26 20 17 
20 43 19 
19 34 12 
47 3 35 
43 22 46 
11 23 44 
40 49 17 
10 16 30 
3 30 44 
28 36 18 
5 26 35 
45 40 46 
28 7 44 
25 19 15 
41 25 14 
40 6 50 
26 41 3 
49 43 30 
43 10 20 
15 31 50 
9 36 9 
26 2 41 
49 29 3 
14 40 11 
6 39 21 
3 13 15 
7 31 4 
